language_2_chars,language_3_chars,family,genus,script
,nog,Altaic,Turkic,Cyrl
no,nor,Indo-European,Germanic,Latn
,nso,Niger-Congo,Bantu,Latn
,nus,Eastern Sudanic,Western Nilotic,Latn
ny,nya,Niger-Congo,Bantu,Latn
oc,oci,Indo-European,Romance,Latn
oj,oji,Algic,Algonquian,Cans
,olo,Uralic,Finnic,Latn
or,ori,Indo-European,Indic,Orya
om,orm,Afro-Asiatic,Lowland East Cushitic,Latn
os,oss,Indo-European,Iranian,Latn
os,oss,Indo-European,Iranian,Cyrl
,pag,Austronesian,Northern Luzon,Latn
,pam,Austronesian,Central Luzon,Latn
,pam,Austronesian,Central Luzon,Tglg
pa,pan,Indo-European,Indic,Khoj
pa,pan,Indo-European,Indic,Guru
pa,pan,Indo-European,Indic,Arab
,pap,Indo-European,Creoles and Pidgins,Latn
fa,pes,Indo-European,Iranian,Arab
,pis,Indo-European,Creoles and Pidgins,Latn
pi,pli,Indo-European,Iranian,Deva
,plt,Austronesian,Barito,Latn
,pms,Indo-European,Romance,Latn
pl,pol,Indo-European,Slavic,Latn
pt,por,Indo-European,Romance,Latn
,prs,Indo-European,Iranian,Arab
ps,pus,Indo-European,Iranian,Arab
,quc,Mayan,Mayan,Latn
qu,que,Quechuan,Quechuan,Latn
,quy,Quechuan,Quechuan,Latn
,rar,Austronesian,Oceanic,Latn
rm,roh,Indo-European,Romance,Latn
ro,ron,Indo-European,Romance,Latn
ro,ron,Indo-European,Romance,Cyrl
rn,run,Niger-Congo,Bantu,Latn
ru,rus,Indo-European,Slavic,Cyrl
sg,sag,Niger-Congo,Ubangi,Latn
,sah,Altaic,Turkic,Cyrl
sa,san,Indo-European,Iranian,Deva
sa,san,Indo-European,Iranian,Kawi
sa,san,Indo-European,Iranian,Phag
sa,san,Indo-European,Iranian,Shrd
sa,san,Indo-European,Iranian,Soyo
sa,san,Indo-European,Iranian,Thai
,sat,Austro-Asiatic,Munda,Orya
,sat,Austro-Asiatic,Munda,Deva
,sat,Austro-Asiatic,Munda,Beng
,sat,Austro-Asiatic,Munda,Latn
,sat,Austro-Asiatic,Munda,Olck
,scn,Indo-European,Romance,Latn
,shn,Tai-Kadai,Kam-Tai,Shan
si,sin,Indo-European,Indic,Sinh
sk,slk,Indo-European,Slavic,Latn
sl,slv,Indo-European,Slavic,Latn
se,sme,Uralic,Saami,Latn
,smn,Uralic,Saami,Latn
sm,smo,Austronesian,Oceanic,Latn
sn,sna,Niger-Congo,Bantu,Latn
sd,snd,Indo-European,Indic,Khoj
sd,snd,Indo-European,Indic,Deva
sd,snd,Indo-European,Indic,Arab
so,som,Afro-Asiatic,Lowland East Cushitic,Latn
so,som,Afro-Asiatic,Lowland East Cushitic,Arab
st,sot,Niger-Congo,Bantu,Latn
es,spa,Indo-European,Romance,Latn
sq,sqi,Indo-European,Albanian,Latn
sq,sqi,Indo-European,Albanian,Grek
sc,srd,Indo-European,Romance,Latn
sr,srp,Indo-European,Slavic,Latn
sr,srp,Indo-European,Slavic,Cyrl
ss,ssw,Niger-Congo,Bantu,Latn
su,sun,Austronesian,Malayo-Sumbawan,Sund
su,sun,Austronesian,Malayo-Sumbawan,Latn
sw,swa,Niger-Congo,Bantu,Latn
sv,swe,Indo-European,Germanic,Latn
sw,swh,Niger-Congo,Bantu,Latn
,tab,Nakh-Daghestanian,Lezgic,Cyrl
ty,tah,Austronesian,Oceanic,Latn
ta,tam,Dravidian,Dravidian,Taml
,taq,Afro-Asiatic,Berber,Tfng
,taq,Afro-Asiatic,Berber,Latn
tt,tat,Altaic,Turkic,Latn
tt,tat,Altaic,Turkic,Cyrl
tt,tat,Altaic,Turkic,Arab
te,tel,Dravidian,Dravidian,Telu
tg,tgk,Indo-European,Iranian,Cyrl
tl,tgl,Austronesian,Greater Central Philippine,Latn
tl,tgl,Austronesian,Greater Central Philippine,Tglg
th,tha,Tai-Kadai,Kam-Tai,Thai
ti,tir,Afro-Asiatic,Semitic,Ethi
,tkl,Austronesian,Oceanic,Latn
,tly,Indo-European,Iranian,Latn
,tly,Indo-European,Iranian,Cyrl
,toi,Niger-Congo,Bantu,Latn
to,ton,Austronesian,Oceanic,Latn
,tpi,Indo-European,Creoles and Pidgins,Latn
